,overlapping.F1.mean,overlapping.F1.sd,overlapping.F1v.mean,overlapping.F1v.sd,overlapping.F2.mean,overlapping.F2.sd,overlapping.F3.mean,overlapping.F3.sd,overlapping.F4.mean,overlapping.F4.sd,neighborhood.N1,neighborhood.N2.mean,neighborhood.N2.sd,neighborhood.N3.mean,neighborhood.N3.sd,neighborhood.N4.mean,neighborhood.N4.sd,neighborhood.T1.mean,neighborhood.T1.sd,neighborhood.LSC,linearity.L1.mean,linearity.L1.sd,linearity.L2.mean,linearity.L2.sd,linearity.L3.mean,linearity.L3.sd,dimensionality.T2,dimensionality.T3,dimensionality.T4,balance.C1,balance.C2,network.Density,network.ClsCoef,network.Hubs.mean,network.Hubs.sd
glass-0-1-5_vs_2,0.9945971347234833,0.004495462459519376,0.3393146352321892,,6.7520498814411685e-06,,0.5290697674418605,,0.20348837209302326,,0.19767441860465115,0.360801834024122,0.13479248475259548,0.12209302325581395,0.32834910917330057,0.09883720930232558,0.2993146893918401,0.016666666666666666,0.027509709041878518,0.9371957815035155,0.08993320808111138,,0.09883720930232553,,0.11627906976744184,,0.05232558139534884,0.023255813953488372,0.4444444444444444,0.4652987598255712,0.7832524471497903,0.8267373861009112,0.4675315315315315,0.8593199647570451,0.19646394824783214
ecoli-0-1-4-7_vs_5-6,0.919899475638096,0.05595377455242447,0.0927067343436431,,0.16856015631184046,,0.6686746987951807,,0.10542168674698796,,0.0572289156626506,0.22716232498857505,0.12117365995290967,0.030120481927710843,0.17117679753479603,0.006024096385542169,0.07749772060245891,0.030303030303030304,0.10749873880275464,0.7539465089272753,0.027523005098864406,,0.02108433734939763,,0.012048192771084376,,0.018072289156626505,0.015060240963855422,0.8333333333333334,0.3854023160667646,0.8382064633092312,0.8156007716667273,0.43615115046015474,0.5780654185326345,0.17512737755142926
glass-0-1-4-6_vs_2,0.9913850902112267,0.01028741667392597,0.3699616514153492,,8.337865237144499e-07,,0.5463414634146342,,0.17073170731707318,,0.18536585365853658,0.32573027685712774,0.14892408128998516,0.11219512195121951,0.31637896266234844,0.04390243902439024,0.20537958698206588,0.017857142857142856,0.03828881911066352,0.9157882212968471,0.07656967900102063,,0.08292682926829265,,0.08292682926829265,,0.04390243902439024,0.01951219512195122,0.4444444444444444,0.4124090145461699,0.8206157213818651,0.8196556671449068,0.4607683121019108,0.8306577704887805,0.1922099676064833
ecoli-0-2-3-4_vs_5,0.9106277850906742,0.10463809928321198,0.09032903075004708,,0.0,,0.7722772277227723,,0.44554455445544555,,0.06435643564356436,0.21610293493755428,0.12409064199547587,0.034653465346534656,0.18335493869854055,0.019801980198019802,0.13966541538536223,0.05555555555555556,0.1595272200725136,0.6367267914910303,0.036622230997691685,,0.024752475247524774,,0.00990099009900991,,0.034653465346534656,0.024752475247524754,0.7142857142857143,0.4658491737720424,0.7828421429423696,0.8106004630313778,0.47134847595619545,0.8009718126142784,0.15136504587559793
ecoli-0-2-6-7_vs_3-5,0.9291580325770027,0.06274120148037166,0.1250065943554684,,0.0,,0.8928571428571429,,0.6607142857142857,,0.08482142857142858,0.24587584057106646,0.1369698771956218,0.03571428571428571,0.1859924984538405,0.008928571428571428,0.09427901670929753,0.02857142857142857,0.11083345274193473,0.6803053252551021,0.040718867685298976,,0.022321428571428603,,0.022321428571428603,,0.03125,0.022321428571428572,0.7142857142857143,0.4633093188170546,0.784731641154815,0.8153026905829597,0.473199013391043,0.6884835129047765,0.19050360591860221
glass-0-4_vs_5,0.9254677958917036,0.10920612920542871,0.05736859385080895,,0.0,,0.10869565217391308,,0.0,,0.08695652173913043,0.19889862921866272,0.13017607493566896,0.03260869565217391,0.17858337274913308,0.021739130434782608,0.14662959759729016,0.06666666666666667,0.14640038348219553,0.6290170132325141,0.005011328769793599,,0.010869565217391353,,0.0,,0.09782608695652174,0.043478260869565216,0.4444444444444444,0.4620663276355393,0.7856527977044476,0.8198757763975155,0.4307344632768362,0.8671919073365342,0.2213569425274287
ecoli-0-4-6_vs_5,0.8985031100262246,0.10665158471093872,0.09695672136828662,,0.17914438502673802,,0.7783251231527093,,0.4433497536945813,,0.07389162561576355,0.2119336490332992,0.11923523801936124,0.029556650246305417,0.169779415691903,0.009852216748768473,0.09901233962757897,0.06666666666666667,0.17264352510821687,0.6412191511563008,0.0323908277895848,,0.019704433497536922,,0.019704433497536922,,0.029556650246305417,0.024630541871921183,0.8333333333333334,0.4642933935214963,0.7840007081943994,0.8127103350729161,0.4746137141641269,0.7255326141182032,0.20050535740355252
glass-0-6_vs_5,0.957967446449595,0.03711942797121333,0.11314559475136557,,0.0,,0.2407407407407407,,0.0,,0.06481481481481481,0.18909951731097555,0.11689064122486137,0.027777777777777776,0.1651016867817926,0.018518518518518517,0.13544536999096835,0.0625,0.12150462742462406,0.6768689986282579,0.0,,0.0,,0.0,,0.08333333333333333,0.037037037037037035,0.4444444444444444,0.4138168503036338,0.819672131147541,0.8080650744202146,0.34719128928483045,0.803319449905191,0.24210254273552984
ecoli-0-3-4-6_vs_5,0.9144402636539374,0.10347826115346936,0.09745442058006756,,0.0,,0.775609756097561,,0.05853658536585366,,0.07317073170731707,0.21376940062509783,0.12012328091828757,0.02926829268292683,0.16897021207345753,0.014634146341463415,0.12037721677505213,0.0625,0.16578878453840895,0.6479238548483046,0.032079016213975575,,0.019512195121951237,,0.019512195121951237,,0.03414634146341464,0.024390243902439025,0.7142857142857143,0.4612160405139095,0.7862815884476535,0.8138689622190339,0.4767887209280811,0.8182658469804803,0.152488004860401
yeast-0-3-5-9_vs_7-8,0.9734647965388532,0.05180567067738729,0.25327918253050896,,0.0,,0.8636363636363636,,0.7114624505928854,,0.1857707509881423,0.36466596001805096,0.11295426081075188,0.12648221343873517,0.3327209705405826,0.07707509881422925,0.2669745089112555,0.005917159763313609,0.014406134519479011,0.9604079113874612,0.07529369051018875,,0.08300395256916993,,0.09090909090909094,,0.015810276679841896,0.011857707509881422,0.75,0.4652254799356966,0.7833070387196107,0.831237036747153,0.43641280732461585,0.7484034865143397,0.15562469913467747
